:title_ja,:genres_ja,:genres_en
九品寺,神社仏閣,Shrines and temples
西片屋観光さくらんぼ園,"レクリエーション,観光農林業","Recreation,tourism agriculture and forestry"
田麦俣,"施設景観,町並み","Facility landscape,townscape"
百川海水浴場,"レクリエーション,海水浴場","Recreation,beaches"
大沼国際セミナーハウス,"文化施設,センター施設","Cultural facilities,center facilities"
仏像焼却跡,"文化史跡,史跡","Cultural historic sites,historic sites"
阿久根大島,"自然景観,海岸景観","Natural landscape,coastal landscape"
錦・くらんど公園,"公園・庭園,公園","Park and square or garden,park"
ウインターイルミネーション,"祭事,行・祭事","Festivals,row and festivals"
生花苗沼,"自然景観,湖沼","Natural landscape,lakes"
小鳥ヶ池,"自然景観,湖沼","Natural landscape,lakes"
サンドパイプ（巣穴の化石）,"自然景観,特殊地形","Natural landscape,special terrain"
アップルラインのりんごの花,"動・植物,植物","Animal and plant,plant"
大西(棚田),"施設景観,郷土景観","Facility landscape,local landscape"
長野市営上里健康スポーツセンター,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
長野市営鬼無里運動場,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
中条トライアルランド,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
悪口まつり,"祭事,行・祭事","Festivals,row and festivals"
牛深あかね市,"祭事,行・祭事","Festivals,row and festivals"
江戸城跡,"文化史跡,史跡","Cultural historic sites,historic sites"
湯之平展望所,"施設景観,展望施設","Facility landscape,outlook facility"
神流川古戦場,"文化史跡,史跡","Cultural historic sites,historic sites"
出羽国分寺薬師堂,神社仏閣,Shrines and temples
岐阜まつり協賛・第43回道三まつり,"祭事,行・祭事","Festivals,row and festivals"
華蔵寺公園のさくら,"動・植物,植物","Animal and plant,plant"
宮崎県ひなもり台県民ふれあいの森,"自然景観,高原","Natural landscape,Plateau"
石廊崎周遊船,"乗り物,遊覧船","Vehicle,pleasure boat"
放光寺,神社仏閣,Shrines and temples
四柱神社,神社仏閣,Shrines and temples
霞ヶ浦総合公園ネイチャーセンター,"文化施設,センター施設","Cultural facilities,center facilities"
アテの元祖,"動・植物,植物","Animal and plant,plant"
乗鞍高原,"レクリエーション,自然歩道・自然研究路","Recreation,nature trails and natural research paths"
伊東塚,"文化史跡,史跡","Cultural historic sites,historic sites"
湯西川温泉,温泉,Hot Springs
新発田城カントリー倶楽部,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
旧岡山藩藩学,"文化史跡,史跡","Cultural historic sites,historic sites"
倉安川吉井水門,"文化史跡,史跡","Cultural historic sites,historic sites"
堂の口あけ祭り,"祭事,行・祭事","Festivals,row and festivals"
たらい舟川下り,"祭事,行・祭事","Festivals,row and festivals"
千古の滝,"自然景観,河川景観","Natural landscape,river landscape"
畑貯水池,"自然景観,湖沼","Natural landscape,lakes"
真田氏本城跡,"文化史跡,史跡","Cultural historic sites,historic sites"
常楽寺,神社仏閣,Shrines and temples
扇温泉,温泉,Hot Springs
坊主ケ滝,"自然景観,河川景観","Natural landscape,river landscape"
国際染織美術館,"文化施設,美術館","Cultural facilities,Museum of Art"
角田中央公園,"公園・庭園,公園","Park and square or garden,park"
三崎山古戦場,"文化史跡,史跡","Cultural historic sites,historic sites"
黒岩山,"動・植物,動物","Animal and plant,animal"
京田海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
永江ノ滝,"自然景観,河川景観","Natural landscape,river landscape"
宝泉峡,"自然景観,河川景観","Natural landscape,river landscape"
福井県奥越高原牧場,"レクリエーション,観光牧場","Recreation,Tourism ranch"
夕やけだんだん,"施設景観,展望施設","Facility landscape,outlook facility"
宇奈月ダム,"文化施設,近代的建造物","Cultural facilities,modern buildings"
たいら郷土館,"文化施設,博物館","Cultural facilities,museums"
侍ニッポンの碑,名所,Attractions
伊那谷道中 かぶちゃん村,"レクリエーション,テーマパーク・レジャーランド","Recreation,Theme Park and Leisure Land"
名勝天龍峡温泉,温泉,Hot Springs
手打ちそば　あるぷす,郷土料理店,Local restaurant
室生龍穴神社,神社仏閣,Shrines and temples
豊丘ダム(昇竜湖),"自然景観,湖沼","Natural landscape,lakes"
米子大瀑布不動滝,"自然景観,河川景観","Natural landscape,river landscape"
オリエントホテル高知和風別館　吉萬,旅館,Japanese hotel
与止日女神社（川上神社）,神社仏閣,Shrines and temples
広隆寺,神社仏閣,Shrines and temples
大沼湖あやめ園,"動・植物,植物","Animal and plant,plant"
関ヶ原合戦岡山本陣跡,"文化史跡,史跡","Cultural historic sites,historic sites"
浄閑寺（投込寺）,神社仏閣,Shrines and temples
伊那公園,"公園・庭園,公園","Park and square or garden,park"
鍋平高原,"自然景観,高原","Natural landscape,Plateau"
愛宕神社,神社仏閣,Shrines and temples
猪洞渓谷,"自然景観,河川景観","Natural landscape,river landscape"
勝光寺,神社仏閣,Shrines and temples
朱鞠内湖,"自然景観,湖沼","Natural landscape,lakes"
判官館,"文化史跡,史跡","Cultural historic sites,historic sites"
奥山寺遊仙峡,"自然景観,河川景観","Natural landscape,river landscape"
郷土館,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
耶馬渓ダム湖,"自然景観,湖沼","Natural landscape,lakes"
明和義民の碑,名所,Attractions
赤浜海岸公園,"公園・庭園,公園","Park and square or garden,park"
石廊崎,"自然景観,海岸景観","Natural landscape,coastal landscape"
多田神社,神社仏閣,Shrines and temples
日張山・青蓮寺,神社仏閣,Shrines and temples
川上山若宮八幡神社,神社仏閣,Shrines and temples
新川渓谷,"自然景観,河川景観","Natural landscape,river landscape"
西福寺書院庭園,"公園・庭園,庭園","Park and square or garden,garden"
箕輪城跡,"文化史跡,史跡","Cultural historic sites,historic sites"
山ノ上の碑と古墳,"文化史跡,史跡","Cultural historic sites,historic sites"
熊襲の穴,"文化史跡,史跡","Cultural historic sites,historic sites"
隼人塚,"文化史跡,史跡","Cultural historic sites,historic sites"
金剛寺の牡丹,"動・植物,植物","Animal and plant,plant"
富ヶ浦公園,"公園・庭園,公園","Park and square or garden,park"
竜王峡,"自然景観,河川景観","Natural landscape,river landscape"
デイゴ,"動・植物,植物","Animal and plant,plant"
山口谷川,"自然景観,河川景観","Natural landscape,river landscape"
蓑島・長井浜,"自然景観,海岸景観","Natural landscape,coastal landscape"
リバーピア吾妻橋,名所,Attractions
愛宕神社のケヤキ,"動・植物,植物","Animal and plant,plant"
清水八幡の夫婦ケヤ木,"動・植物,植物","Animal and plant,plant"
不動山正観寺,神社仏閣,Shrines and temples
伊砂砂神社,神社仏閣,Shrines and temples
仙酔島の海食洞,"自然景観,特殊地形","Natural landscape,special terrain"
源覚寺（こんにゃくえんま）,神社仏閣,Shrines and temples
八坂の大滝,"自然景観,河川景観","Natural landscape,river landscape"
間々田八幡公園,"公園・庭園,公園","Park and square or garden,park"
吉野愛宕山のツツジ,"動・植物,植物","Animal and plant,plant"
大町観光道路の桜,"動・植物,植物","Animal and plant,plant"
居谷里湿原のリュウキンカ,"動・植物,植物","Animal and plant,plant"
円空仏（栃尾観音堂）,神社仏閣,Shrines and temples
鍋田浜海水浴場,"レクリエーション,海水浴場","Recreation,beaches"
高瀬渓谷,"動・植物,植物","Animal and plant,plant"
今山大師寺,神社仏閣,Shrines and temples
御頭神社,神社仏閣,Shrines and temples
尾高智神社,神社仏閣,Shrines and temples
大江戸骨董市 in 代々木公園,"祭事,行・祭事","Festivals,row and festivals"
仁科神明宮社殿,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
住吉神社,神社仏閣,Shrines and temples
かんぽの宿福井,旅館,Japanese hotel
都留カントリー倶楽部,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
宮浦宮の夫婦いちょう,"動・植物,植物","Animal and plant,plant"
オガタマの木,"動・植物,植物","Animal and plant,plant"
庚申塚古墳,"文化史跡,史跡","Cultural historic sites,historic sites"
水牛,"動・植物,動物","Animal and plant,animal"
大浜海浜公園,"公園・庭園,公園","Park and square or garden,park"
プレジデントカントリー倶楽部　軽井沢コース,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
唐花見湿原,"レクリエーション,自然歩道・自然研究路","Recreation,nature trails and natural research paths"
大洗八朔祭,"祭事,行・祭事","Festivals,row and festivals"
兼六園のカキツバタ,"動・植物,植物","Animal and plant,plant"
平和公園,"公園・庭園,公園","Park and square or garden,park"
ホタルの里・水車公園,"公園・庭園,公園","Park and square or garden,park"
北川流域,"レクリエーション,観光漁業","Recreation,Tourism fishing"
滝里湖,"自然景観,湖沼","Natural landscape,lakes"
夜の森つつみ公園,"公園・庭園,公園","Park and square or garden,park"
ラ・カスタ ナチュラルヒーリングガーデン,"文化施設,産業観光施設","Cultural facilities,industrial tourism facilities"
西尾ゴルフクラブ,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
麻の館,"観光案内,体験観光","Tourist information,experience tourism"
龍眼寺（萩寺）,神社仏閣,Shrines and temples
深川不動堂,神社仏閣,Shrines and temples
富岡八幡宮,神社仏閣,Shrines and temples
シャクナゲ,"動・植物,植物","Animal and plant,plant"
杉原の大杉,"動・植物,植物","Animal and plant,plant"
寒山寺,神社仏閣,Shrines and temples
神州不滅の碑,名所,Attractions
西湖蝙蝠穴,"自然景観,特殊地形","Natural landscape,special terrain"
筥崎宮,神社仏閣,Shrines and temples
櫛田神社,神社仏閣,Shrines and temples
青森県りんご史料館とりんご栽培試験圃場（青森県農林総合研究センターりんご試験場）,"文化施設,産業観光施設","Cultural facilities,industrial tourism facilities"
唐人屋敷跡,"文化史跡,史跡","Cultural historic sites,historic sites"
